County_Code,Age_Group,Probability,COMMUNITY,UNC,LARGE,SMALL,LT,NH
123,0,0.000124018861836956,0,0.0,0.0,0.000124018861836956,0,0.0
123,1,0.0001792334110166138,0,0.0,0.0,0.0001792334110166138,0,0.0
123,2,0.0006001533144821024,0,0.0,0.0,0.00043523952201271926,0,0.00016491379246938318
125,0,0.00017622035680481612,0,1.4516895652796403e-05,0.0,0.00016170346115201972,0,0.0
125,1,0.00023426610959190313,0,1.668884817868688e-05,0.0,0.00021757726141321626,0,0.0
125,2,0.0006145346275173437,0,2.8285028245280468e-05,0.0,0.00042133580680268,0,0.00016491379246938318
127,0,0.00019687996196316628,0,0.000137691899319503,4.0558250849622196e-05,1.8629811794041095e-05,0,0.0
127,1,0.00023222795277207507,0,0.00016095983535736096,4.577874294516791e-05,2.54893744695462e-05,0,0.0
127,2,0.0007383251397563271,0,0.000396369063183163,0.00010532463938179004,7.171764472199083e-05,0,0.00016491379246938318
129,0,0.0001685438770320812,0,2.9035864705193048e-06,0.00016522569182916952,4.145987323923998e-07,0,0.0
129,1,0.00023320565297955517,0,4.156157699290028e-06,0.00022835490803301247,6.945872472526674e-07,0,0.0
129,2,0.0006634223377030035,0,9.490952112941098e-06,0.0004872052969226803,1.8122961979988203e-06,0,0.00016491379246938318
131,0,0.00017854988936552582,0,0.0,4.250308910994544e-05,0.00013604680025558038,0,0.0
131,1,0.00018767472486302895,0,0.0,3.845778230446054e-05,0.00014921694255856842,0,0.0
131,2,0.000600252146458397,0,0.0,7.577714067271752e-05,0.0003595612133162963,0,0.00016491379246938318
133,0,9.681633823240402e-05,0,3.1074360389375534e-06,3.742147354621741e-05,5.6287428647249055e-05,0,0.0
133,1,0.0002782601522473261,0,8.225627858958228e-06,9.564521802571693e-05,0.00017438930636265096,0,0.0
133,2,0.000930618175214123,0,2.1218215154774784e-05,0.00023050849736050481,0.0005139776702294601,0,0.00016491379246938318
135,0,9.155358692029085e-05,0,6.225590081464694e-05,2.158216294566558e-05,7.715523159978329e-06,0,0.0
135,1,0.00013232258013825876,0,8.942048296153145e-05,2.9931396105586362e-05,1.2970701071140958e-05,0,0.0
135,2,0.0005519797442298576,0,0.0002618022464090823,8.18742281076711e-05,4.338947724372096e-05,0,0.00016491379246938318
137,0,0.00013166961851690748,0,0.0,0.0,0.00013166961851690748,0,0.0
137,1,0.00014147333129611574,0,0.0,0.0,0.00014147333129611574,0,0.0
137,2,0.0004421592074388467,0,0.0,0.0,0.00027724541496946354,0,0.00016491379246938318
139,0,0.00011128610010800547,0,0.0,0.0,0.00011128610010800547,0,0.0
139,1,0.0001693859750140638,0,0.0,0.0,0.0001693859750140638,0,0.0
139,2,0.0006675764709173201,0,0.0,0.0,0.000502662678447937,0,0.00016491379246938318
141,0,0.00019632126433522483,0,0.0,0.00018298213475771913,1.3339129577505685e-05,0,0.0
141,1,0.00022293819208478766,0,0.0,0.00020483753248880612,1.8100659595981556e-05,0,0.0
